"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\appsettings.json", "JSON", 0, 39, 0, 0, 0, 0, 39
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\bin\Debug\net8.0\ChatServer.Main.deps.json", "JSON", 0, 1279, 0, 0, 0, 0, 1279
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\bin\Debug\net8.0\ChatServer.Main.runtimeconfig.json", "JSON", 0, 13, 0, 0, 0, 0, 13
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\bin\Debug\net8.0\appsettings.json", "JSON", 0, 39, 0, 0, 0, 0, 39
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\ChatServer.Console.csproj.nuget.dgspec.json", "JSON", 0, 444, 0, 0, 0, 0, 444
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\ChatServer.Console.csproj.nuget.g.props", "XML", 0, 0, 23, 0, 0, 0, 23
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\ChatServer.Console.csproj.nuget.g.targets", "XML", 0, 0, 21, 0, 0, 0, 21
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\ChatServer.Main.csproj.nuget.dgspec.json", "JSON", 0, 378, 0, 0, 0, 0, 378
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\ChatServer.Main.csproj.nuget.g.props", "XML", 0, 0, 23, 0, 0, 0, 23
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\ChatServer.Main.csproj.nuget.g.targets", "XML", 0, 0, 9, 0, 0, 0, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\ChatServer.csproj.nuget.dgspec.json", "JSON", 0, 444, 0, 0, 0, 0, 444
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\ChatServer.csproj.nuget.g.props", "XML", 0, 0, 23, 0, 0, 0, 23
